Met_station,Met_station_name,Met_Lat,Met_long,Met_elevation,Date (Local),Average daily wind speed,Precipitation,Snowfall,Snow depth,Temperature Average,Maximum temperature,Minimum temperature,Direction of fastest 2-minute wind,Direction of fastest 5-second wind,Fastest 2-minute wind speed,Fastest 5-second wind speed
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-22,9.4,0.0,0.0,0.0,,55,14,200,210.0,23.0,29.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-23,12.3,0.0,0.0,0.0,,50,27,140,140.0,21.9,29.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-24,8.05,0.0,0.0,0.0,,41,20,170,150.0,19.9,30.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-25,10.29,0.0,0.0,0.0,,23,20,150,150.0,17.0,19.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-26,12.3,0.0,0.0,0.0,,55,20,260,270.0,40.9,53.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-27,8.72,0.0,0.0,0.0,,50,23,230,230.0,25.1,33.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-28,11.41,0.0,0.0,0.0,,63,14,270,220.0,32.0,44.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-01,6.93,0.0,0.0,0.0,,66,28,140,130.0,28.0,31.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-02,5.59,0.0,0.0,0.0,,57,28,150,140.0,21.9,25.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-03,13.2,0.05,0.0,0.0,,65,33,270,270.0,23.9,38.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-04,6.71,0.13,0.0,0.0,,43,23,20,30.0,23.0,25.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-05,4.7,0.0,0.0,0.0,,45,20,320,300.0,17.0,25.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-06,7.38,0.0,0.0,0.0,,48,32,170,170.0,28.0,30.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-07,8.95,0.06,0.6,0.0,,36,22,140,140.0,17.0,19.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-08,7.38,0.0,0.0,1.0,,40,20,360,340.0,23.9,25.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-09,7.38,0.0,0.0,0.0,,51,20,170,340.0,17.0,23.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-10,10.29,0.0,0.0,0.0,,62,24,170,150.0,23.9,30.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-11,10.96,0.0,0.0,0.0,,69,37,320,330.0,38.0,47.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-12,10.51,0.0,0.0,0.0,,56,32,170,170.0,23.0,29.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-13,6.93,0.0,0.0,0.0,,56,27,20,10.0,21.0,23.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-14,8.95,0.0,0.0,0.0,,58,22,320,310.0,21.0,30.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-15,11.41,0.0,0.0,0.0,,56,35,150,150.0,21.9,28.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-16,11.41,0.0,0.0,0.0,,75,29,180,190.0,28.0,38.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-17,17.45,0.0,0.0,0.0,,72,39,200,240.0,38.0,48.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-18,10.29,0.0,0.0,0.0,,50,31,170,160.0,23.0,29.1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-19,15.43,0.0,0.0,0.0,,71,24,220,210.0,40.9,49.0
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-20,11.41,0.0,0.0,0.0,,68,38,170,220.0,29.1,36.9
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-21,15.66,0.0,0.0,0.0,,72,33,220,220.0,38.9,49.0
