STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT18,WT19,WT22
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-20,15.66,1356,1141,0.00,0.0,0.0,,46,28,250,300,33.1,53.0,,,,,,,,,,,,,,,1,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-21,11.18,1011,956,0.00,0.0,0.0,,47,15,300,290,34.9,44.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-22,9.40,2226,1852,0.00,0.0,0.0,,55,14,200,210,23.0,29.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-23,12.30,1642,1454,0.00,0.0,0.0,,50,27,140,140,21.9,29.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-24,8.05,1610,1452,0.00,0.0,0.0,,41,20,170,150,19.9,30.0,1,,,,,,,,,,,1,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-25,10.29,955,1837,0.00,0.0,0.0,,23,20,150,150,17.0,19.9,1,1,,,,,,1,,,,,,,,1,,1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-26,12.30,1418,1418,0.00,0.0,0.0,,55,20,260,270,40.9,53.0,1,1,,,,,,1,,,,1,,,,,,1
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-27,8.72,1045,1044,0.00,0.0,0.0,,50,23,230,230,25.1,33.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-02-28,11.41,1501,1653,0.00,0.0,0.0,,63,14,270,220,32.0,44.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-01,6.93,1633,1633,0.00,0.0,0.0,,66,28,140,130,28.0,31.1,,,,,,,,,,,,,,,,,,
USW00093037,"COLORADO SPRINGS MUNICIPAL AIRPORT, CO US",38.80949,-104.68873,1884.2,2011-03-02,5.59,1807,1806,0.00,0.0,0.0,,57,28,150,140,21.9,25.1,,,,,,,,,,,,,,,,,,
